model_name,year,top_k,weight_method,n_selected,gross_return,net_return,transaction_cost,avg_selected_return_percent,min_selected_return_percent,max_selected_return_percent,sum_weight
external_random_forest,2017,30,equal,30,-0.03426510241975043,-0.03806310241975043,0.003798,-3.426510241975043,-29.64426877470356,49.67105263157895,1.0
external_random_forest,2018,30,equal,30,0.29939686507152136,0.29559886507152133,0.003798,29.939686507152135,-38.84297520661157,158.34363411619282,1.0
external_random_forest,2019,30,equal,30,0.43478366530071344,0.4309856653007134,0.003798,43.47836653007136,-25.91362126245847,225.8064516129033,1.0
external_random_forest,2020,30,equal,30,0.6231671156516075,0.6193691156516076,0.003798,62.31671156516076,-40.20926756352765,412.34567901234567,1.0
external_random_forest,2021,30,equal,30,-0.13128573568799692,-0.13508373568799692,0.003798,-13.128573568799693,-55.84415584415584,124.10147991543342,1.0
external_random_forest,2022,30,equal,30,0.4288610810280522,0.4250630810280522,0.003798,42.88610810280521,-33.79204892966362,237.45454545454544,1.0
external_random_forest,2023,30,equal,30,0.18313607407107432,0.17933807407107433,0.003798,18.313607407107433,-55.156037991858895,128.39506172839506,1.0
external_random_forest,2024,30,equal,30,0.13143665729378035,0.12763865729378035,0.003798,13.143665729378032,-27.674417717512263,150.45045045045043,1.0
external_random_forest,2016,30,score,30,0.5604911375715028,0.5566931375715028,0.003798,56.58857863582775,-22.0703125,248.30729166666663,1.0
external_random_forest,2017,30,score,30,-0.03800489712724903,-0.04180289712724903,0.003798,-3.426510241975043,-29.64426877470356,49.67105263157895,0.9999999999999999
external_random_forest,2018,30,score,30,0.314354343792312,0.31055634379231195,0.003798,29.939686507152135,-38.84297520661157,158.34363411619282,1.0
external_random_forest,2019,30,score,30,0.42994989164979497,0.42615189164979494,0.003798,43.47836653007136,-25.91362126245847,225.8064516129033,0.9999999999999999
external_random_forest,2020,30,score,30,0.6198583524050192,0.6160603524050192,0.003798,62.31671156516076,-40.20926756352765,412.34567901234567,1.0
external_random_forest,2021,30,score,30,-0.12866595868124817,-0.13246395868124816,0.003798,-13.128573568799693,-55.84415584415584,124.10147991543342,1.0
external_random_forest,2022,30,score,30,0.4335277729119746,0.42972977291197456,0.003798,42.88610810280521,-33.79204892966362,237.45454545454544,1.0
external_random_forest,2023,30,score,30,0.17723898133206484,0.17344098133206484,0.003798,18.313607407107433,-55.156037991858895,128.39506172839506,0.9999999999999999
external_random_forest,2024,30,score,30,0.1261605971897155,0.12236259718971551,0.003798,13.143665729378032,-27.674417717512263,150.45045045045043,0.9999999999999999
