證券代碼,簡稱,年月,year,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
2881,富邦金,201512,2015,531124047.6,51.9,7.11,1.3,4.754762858412518,,-0.004243079176241564,,-0.22743496061357316,,,,,,,,-3.0828516377649353,-1
2882,國泰金,201512,2015,581676632.26,46.3,9.79,1.33,6.275775338457464,,-0.0007984964904296308,,-0.0652072455501622,,,,,,,,4.319654427645789,-1
2883,凱基金,201512,2015,130268949.20199998,8.62,13.72,0.75,14.498069082682283,,0.0026983365171308225,,0.26028178143275066,,,,,,,,-7.076566125290016,-1
2884,玉山金,201512,2015,0.008960000000000003,20.0,12.2,1.29,9.778822889474094e-10,,0.0006388837189334082,,0.12378505492457047,,,,,,,,-8.000000000000007,-1
2885,元大金,201512,2015,135518950.325,12.65,10.04,0.72,6.735410448465907,,0.008695381955608822,,0.6703554656301052,,,,,,,,-8.300395256917001,-1
2886,兆豐金,201512,2015,306676031.2,22.55,9.4,1.01,17.88132746144019,,-0.0006507247573437081,,-0.1289457005369482,,,,,,,,1.5521064301552012,-1
2887,台新金,201512,2015,104104329.075,11.75,380.0,0.88,11.605137738115596,,-0.00020746851910908925,,-0.03515954115572555,,,,,,,,0.0,-1
2890,永豐金,201512,2015,102188206.035,10.05,8.92,0.73,12.522608678948817,,-3.036020332243282e-05,,-0.005906647760492051,,,,,,,,-9.154228855721392,-1
2891,中信金,201512,2015,317764138.56,17.6,10.3,1.17,4.745722062826323,,9.111821988232568e-05,,0.006254665516752087,,,,,,,,-0.2840909090909131,-1
2892,第一金,201512,2015,177647149.2,15.5,12.14,0.95,16.599769645883338,,-0.0009674429229434667,,-0.2260090467159494,,,,,,,,8.387096774193553,-1
2912,統一超,201512,2015,219880116.45,211.5,26.15,8.25,4.194933272875552,1.0143659552596427,0.30770156090139666,0.16759119668115857,0.5247136060016895,2.4054272812630495e-07,,,,,,,13.947990543735225,-1
3008,大立光,201512,2015,348764520.0,2600.0,12.24,5.36,22.58773195582509,0.0,0.0,-0.41623813829139583,0.0,3.869921479403617e-08,,,,,,,40.38461538461539,1
3017,奇鋐,201512,2015,9645365.73,27.3,14.9,1.17,1.433688473760111,0.03925202275849725,0.012511645097826237,-1.6776863508816888,0.05016604589591207,7.86203478066493e-07,,,,,,,-11.172161172161173,-1
3034,聯詠,201512,2015,74846914.5,123.0,11.26,2.9,5.925224502830608,0.0,0.0,0.5455626986635119,0.0,1.0730131443408867e-07,,,,,,,-12.195121951219512,-1
3036,文曄,201512,2015,15533028.190000001,34.7,8.11,0.96,0.5632898369541252,0.0009867589942196013,0.0003539873130946987,0.02203763681684414,0.0006056089103855473,3.7892727125331147e-07,,,,,,,30.83573487031699,1
3037,欣興,201512,2015,22771368.8,14.8,0.0,0.48,1.2947475584501877,-0.25633334454096,-0.10822642435399489,0.8382545850611943,-0.6380782893665881,1.2277376333585748e-07,,,,,,,-17.567567567567576,-1
3044,健鼎,201512,2015,30958187.51,58.9,10.67,1.0,2.7610793018412734,0.0,0.0,0.8556636209180056,0.0,1.7599528457604403e-07,,,,,,,25.636672325976235,1
3045,台灣大,201512,2015,342083280.0,100.0,18.18,4.88,11.203399921549442,0.1669663720713238,0.06370732053030902,-0.6495374760909037,0.3256644643371735,9.767326236839947e-08,,,,,,,5.5,-1
3189,景碩,201512,2015,0.06276,60.0,11.51,1.08,9.970431855053179e-09,-0.3508735966042359,-0.23363030589183564,-0.045928168408156056,-1.58257570125053,9.756566274769703e-08,,,,,,,19.666666666666664,1
3231,緯創,201512,2015,43187652.56,16.9,22.14,0.66,0.24809110579796706,-0.08665293099930022,-0.020505188276845276,-0.4800941591101231,-0.034205000568417444,1.1083379055667579e-07,,,,,,,36.390532544378715,1
3324,雙鴻,201512,2015,0.0718359,35.9,19.35,2.03,5.4340449030227836e-08,710852.5170756388,0.007902741717026724,1.0559321008199947,0.0212563163787104,151.20161902352643,,,,,,,174.3732590529248,1
3443,創意,201512,2015,9220018.72,68.8,21.29,2.63,4.628746525936993,0.0,0.0,0.5906409144215785,0.0,9.83677752837783e-07,,,,,,,11.627906976744185,-1
3481,群創,201512,2015,100030033.86,10.05,3.45,0.41,1.2279106897390388,0.0,0.0,-4.575811380411869,0.0,1.7243255662204025e-08,,,,,,,8.955223880597,-1
3533,嘉澤,201512,2015,0.1054725,122.5,13.07,1.45,4.667443154084812e-08,0.0,0.0,2.667420142679563,0.0,3.171667038145577e-07,,,,,,,-25.55102040816326,-1
3653,健策,201512,2015,4444351.56,41.8,15.31,1.06,5.479513935037634,3.392716076517798,2.893098456355418,1.841237354901151,18.193777470918583,3.386577473764945e-07,,,,,,,14.952153110047847,1
