證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label,year
1902,台紙,199712,10304,36.8,0.26380291652199,2.8505,5.0342,-0.012313,-0.024545,0.025685,-0.043331,0.9934,101.71,28.1,1.34,5.47,160.92,45.31,-40.7609,-1,1997
1903,士紙,199712,24077,92.56,0.4455862007109,7.8842,7.9179,0.0087089,0.014783,0.020268,0.014846,0.69742,111.32,65.42,6.1,6.12,2960.31,-75.74,-17.5994,1,1997
1904,正隆,199712,13931,9.41,0.162182308193243,0.73173,0.57065,0.01443,0.028471,0.06557,0.022204,0.97304,185.42,80.61,3.04,5.55,173.98,-29.58,-33.2625,-1,1997
1905,華紙,199712,9283,11.29,0.49086409246808,0.91789,1.2088,0.0068834,0.010839,-0.0093938,0.014275,0.57471,182.1,88.08,4.16,6.12,94.42,116.35,-21.7006,-1,1997
1907,永豐餘,199712,19049,8.5,0.257508254123736,0.64492,0.53292,0.010812,0.022234,0.041193,0.018374,1.0563,133.0,88.87,5.2,3.48,518.05,-8.29,-27.8824,-1,1997
2002,中鋼,199712,181781,5.53,0.126986816293506,0.3577,0.42117,0.07789,0.13638,0.22792,0.16015,0.75094,85.46,26.6,4.1,22.41,44.39,63.01,-9.2224,1,1997
2006,東鋼,199712,16184,10.93,0.54972360829114,0.6278,0.54842,0.015186,0.029624,0.064177,0.025881,0.95077,150.51,70.01,4.73,8.97,250.41,256.6,-30.7411,-1,1997
2010,春源,199712,7477,5.77,0.744692807074156,0.44248,0.30773,0.0065984,0.011009,0.030662,0.007658,0.66844,170.38,86.09,2.97,3.52,436.86,-49.33,-16.4645,1,1997
2014,中鴻,199712,8612,10.52,0.241691285913833,0.78158,0.78684,-0.031556,-0.091379,0.015369,-0.088923,1.8958,144.94,23.77,1.23,10.93,143.82,-334.61,-49.8099,-1,1997
2015,豐興,199712,11996,11.33,0.228976968716819,0.8824,0.56089,0.011817,0.023536,0.055916,0.014956,0.99167,91.64,24.17,4.43,20.99,60711.67,-33.55,-56.3989,-1,1997
2019,桂宏,199712,10833,26.34,0.86869470536351,1.635,1.9283,0.011394,0.019596,0.035384,0.023109,0.71982,135.04,88.23,7.58,9.68,162.87,130.9,-35.0797,-1,1997
2023,燁輝,199712,12000,7.08,0.0838213779969326,0.48963,0.31481,0.065225,0.1305,0.12015,0.083907,1.0008,111.82,54.78,6.32,8.96,67.59,81.39,-27.8249,-1,1997
2028,威致,199712,13971,57.04,0.337122644398882,3.8671,4.0772,0.033812,0.064589,0.10935,0.068112,0.91025,143.19,31.92,1.52,8.18,1.51,23.38,-66.3043,-1,1997
2029,盛餘,199712,10500,13.94,0.800068480224308,0.77358,0.42695,0.092407,0.11579,0.079937,0.063921,0.25303,412.58,238.96,8.97,17.55,54.81,53.43,-44.1894,-1,1997
2101,南港,199712,20343,40.66,0.255095115459269,1.8583,1.8423,0.010394,0.032175,0.057663,0.031898,2.0956,66.81,58.67,8.34,5.98,58.44,-68.71,-12.8136,1,1997
2103,台橡,199712,15589,13.14,0.757200229110721,0.88425,1.0622,0.12437,0.14776,0.087209,0.19351,0.18812,320.77,246.14,7.24,7.72,-64.67,-11.82,-30.8219,-1,1997
2104,中橡,199712,7058,13.0,0.794831416883453,0.58957,0.43683,0.030916,0.071239,0.067237,0.068088,1.3043,251.93,196.25,7.57,4.97,-56.98,-44.34,36.1538,1,1997
2105,正新,199712,28399,10.59,0.765516788149002,0.70884,0.59561,0.034601,0.076323,0.11165,0.064143,1.2058,116.37,62.81,3.62,7.07,29.69,-22.1,-8.7819,1,1997
2106,建大,199712,10009,14.74,0.549860201836332,0.91269,0.65833,0.058127,0.10739,0.10206,0.077434,0.84747,168.26,112.51,3.68,4.64,46.1,38.73,-1.8996,1,1997
2107,厚生,199712,12864,28.27,0.601981941401637,2.1224,3.7845,0.029423,0.053554,0.082599,0.095482,0.82015,193.12,118.55,2.1,8.22,67.85,25.08,-27.0605,-1,1997
2201,裕隆,199712,70021,23.63,0.8002804688888,1.0805,0.54011,0.096684,0.19497,0.067381,0.099296,1.0166,160.09,121.3,8.23,5.44,139.42,232.01,1.1003,1,1997
2204,中華,199712,52146,26.33,0.678735154857774,1.0478,0.42688,0.11364,0.18947,0.076837,0.077188,0.66731,188.27,93.45,5.43,29.32,88.64,96.83,7.0642,1,1997
2206,三陽,199712,42344,29.83,0.706046088019609,1.762,0.68323,0.056907,0.092631,0.032922,0.03592,0.62775,157.85,102.34,11.75,25.58,-28.3,-16.83,-35.3336,-1,1997
2301,光寶科,199712,19827,16.2,0.959291425205444,0.77772,0.29226,0.052654,0.1578,-0.0054123,0.0593,1.9969,226.56,163.2,5.95,3.31,-108.79,38.86,-53.2099,-1,1997
2303,聯電,199712,263536,20.55,0.905791937075619,1.2724,3.3855,0.11146,0.14588,0.14295,0.3882,0.30889,338.15,303.48,5.27,6.8,-41.39,27.37,-18.0049,1,1997
