split_id,model_name,feature,importance,signed_coefficient,importance_type
5,logistic_regression,Unknown masked parameter,0.008180254094200376,0.008180254094200376,abs_logistic_coefficient
6,logistic_regression,收盤價(元)_年,0.7274413747367646,-0.7274413747367646,abs_logistic_coefficient
6,logistic_regression,資產報酬率 ROA,0.4565858099248396,0.4565858099248396,abs_logistic_coefficient
6,logistic_regression,股價淨值比,0.3642044676811037,0.3642044676811037,abs_logistic_coefficient
6,logistic_regression,淨值報酬率─稅後,0.31333562495090017,0.31333562495090017,abs_logistic_coefficient
6,logistic_regression,速動比率,0.24469706269957828,0.24469706269957828,abs_logistic_coefficient
6,logistic_regression,利潤邊際 NPM,0.23848153021809837,0.23848153021809837,abs_logistic_coefficient
6,logistic_regression,流動比率,0.18655036970418942,-0.18655036970418942,abs_logistic_coefficient
6,logistic_regression,營業利益率 OPM,0.11991116711734826,-0.11991116711734826,abs_logistic_coefficient
6,logistic_regression,營業利益成長率,0.11894834633461947,-0.11894834633461947,abs_logistic_coefficient
6,logistic_regression,負債/淨值比,0.10140574336849885,0.10140574336849885,abs_logistic_coefficient
6,logistic_regression,市值(百萬元),0.09505712179817066,0.09505712179817066,abs_logistic_coefficient
6,logistic_regression,股價營收比,0.08259602207563334,-0.08259602207563334,abs_logistic_coefficient
6,logistic_regression,稅後淨利成長率,0.04713792816887919,-0.04713792816887919,abs_logistic_coefficient
6,logistic_regression,應收帳款週轉次,0.041778332557464784,0.041778332557464784,abs_logistic_coefficient
6,logistic_regression,存貨週轉率 (次),0.039551646271547294,-0.039551646271547294,abs_logistic_coefficient
6,logistic_regression,Unknown masked parameter,0.008135439011798834,0.008135439011798834,abs_logistic_coefficient
7,logistic_regression,收盤價(元)_年,0.7482242222929605,-0.7482242222929605,abs_logistic_coefficient
7,logistic_regression,資產報酬率 ROA,0.6173037539465436,0.6173037539465436,abs_logistic_coefficient
7,logistic_regression,股價淨值比,0.3304520900227982,0.3304520900227982,abs_logistic_coefficient
7,logistic_regression,淨值報酬率─稅後,0.23390775306472053,0.23390775306472053,abs_logistic_coefficient
7,logistic_regression,利潤邊際 NPM,0.20743350979230543,0.20743350979230543,abs_logistic_coefficient
7,logistic_regression,負債/淨值比,0.1472087761125428,0.1472087761125428,abs_logistic_coefficient
7,logistic_regression,營業利益成長率,0.1464761537156737,-0.1464761537156737,abs_logistic_coefficient
7,logistic_regression,市值(百萬元),0.10913626656664013,0.10913626656664013,abs_logistic_coefficient
7,logistic_regression,應收帳款週轉次,0.0630815249086677,0.0630815249086677,abs_logistic_coefficient
7,logistic_regression,股價營收比,0.05806732809800889,-0.05806732809800889,abs_logistic_coefficient
7,logistic_regression,營業利益率 OPM,0.053958705156073275,-0.053958705156073275,abs_logistic_coefficient
7,logistic_regression,稅後淨利成長率,0.03993831317079713,-0.03993831317079713,abs_logistic_coefficient
7,logistic_regression,流動比率,0.034258132510368626,0.034258132510368626,abs_logistic_coefficient
7,logistic_regression,速動比率,0.023774631171686742,0.023774631171686742,abs_logistic_coefficient
7,logistic_regression,Unknown masked parameter,0.023095024744615198,0.023095024744615198,abs_logistic_coefficient
7,logistic_regression,存貨週轉率 (次),0.014069185339972659,-0.014069185339972659,abs_logistic_coefficient
