model_name,top_k,weight_method,n_years,gross_mean_annual_return,gross_cumulative_return,gross_annualized_return,gross_maximum_drawdown,gross_volatility,gross_sharpe_ratio,gross_win_rate,net_mean_annual_return,net_cumulative_return,net_annualized_return,net_maximum_drawdown,net_volatility,net_sharpe_ratio,net_win_rate
logistic_regression,20,equal,11,0.1222682004545454,0.768374571873828,0.053190058667623,-0.4427439500000001,0.4063687076069123,0.3008799599127049,0.6363636363636364,0.1184702004545454,0.6945424750228801,0.0491146480987567,-0.4465419500000001,0.4063687076069123,0.2915337678243272,0.6363636363636364
logistic_regression,20,score,11,0.114549669056613,0.6525504238785167,0.0467241570971739,-0.44417918006761,0.4014801410321687,0.2853183939861043,0.6363636363636364,0.110751669056613,0.5832018530032383,0.0426526771651112,-0.4479771800676101,0.4014801410321687,0.275858399301845,0.6363636363636364
logistic_regression,30,equal,11,0.144581293030303,1.0568873131710623,0.0677600843554642,-0.4621133333333334,0.4316002390252821,0.3349889086178976,0.6363636363636364,0.140783293030303,0.9714889345549528,0.0636518157314367,-0.4659113333333333,0.4316002390252821,0.3261890988481502,0.6363636363636364
logistic_regression,30,score,11,0.1377550038820308,0.944754329620842,0.0623324106466842,-0.4595869545665491,0.4266793496260446,0.322853693300985,0.6363636363636364,0.1339570038820308,0.8637048319147027,0.0582291956963481,-0.4633849545665491,0.4266793496260446,0.3139523953981719,0.6363636363636364
random_forest,5,equal,11,0.3484309781818182,12.568737766458684,0.2675296635035038,-0.3642204,0.4567800514594568,0.7627981499379127,0.8181818181818182,0.3446329781818182,12.09438457014114,0.2634358334301354,-0.3680183999999999,0.4567800514594569,0.7544834260618041,0.8181818181818182
random_forest,5,score,11,0.3471122880156871,12.475398557613666,0.2667345082954997,-0.3642308114358518,0.4557984886171359,0.7615476941768808,0.8181818181818182,0.3433142880156871,12.004297567791609,0.2626431504945148,-0.3680288114358518,0.455798488617136,0.7532150645283645,0.8181818181818182
random_forest,10,equal,11,0.2686336347272728,5.724626393272619,0.1891662094140938,-0.4495194,0.4282054156812158,0.6273475880726864,0.8181818181818182,0.2648356347272727,5.472536957689367,0.1850428355213045,-0.4533174,0.4282054156812158,0.6184780131889639,0.8181818181818182
random_forest,10,score,11,0.2698095289598789,5.807172903414292,0.1904858914221492,-0.4480023436956073,0.4286594202424835,0.6294263375974647,0.8181818181818182,0.2660115289598788,5.552369364637885,0.1863642024342011,-0.4518003436956073,0.4286594202424835,0.6205661567157482,0.8181818181818182
random_forest,20,equal,11,0.2380651987272727,4.092282488548447,0.1594840307636706,-0.4801954,0.4344847513052734,0.5479253253700627,0.7272727272727273,0.2342671987272727,3.897045990248935,0.1553705393746467,-0.4839934000000001,0.4344847513052734,0.5391839368895923,0.7272727272727273
random_forest,20,score,11,0.2401678179453935,4.1946036842565295,0.1615829264797668,-0.4787027897455623,0.4345948585125961,0.5526246186330172,0.7272727272727273,0.2363698179453935,3.9958109246636377,0.1574697127717201,-0.4825007897455624,0.4345948585125961,0.5438854448356127,0.7272727272727273
random_forest,30,equal,11,0.2287922536969697,3.731029760513162,0.1517536766002061,-0.4905216333333333,0.4084864200802065,0.5600975759538009,0.8181818181818182,0.2249942536969696,3.5474097468590475,0.1476163719951146,-0.4943196333333334,0.4084864200802065,0.5507998372449981,0.8181818181818182
random_forest,30,score,11,0.23045642495055,3.8131676424211314,0.1535573236563281,-0.4885288080377392,0.4093665158451211,0.5629586593685656,0.8181818181818182,0.22665842495055,3.6267622348232704,0.1494226312956772,-0.4923268080377393,0.4093665158451211,0.5536809098385163,0.8181818181818182
svr_ga_regression,5,equal,11,0.152660309090909,0.6778471904016505,0.0481707514492115,-0.6707192,0.4632113204778688,0.3295694693588621,0.6363636363636364,0.1488623090909091,0.6029845164897982,0.0438303951392928,-0.6745171999999999,0.4632113204778688,0.321370187881713,0.6363636363636364
svr_ga_regression,5,score,11,0.1744059945885848,1.356199669962844,0.0810292941732118,-0.552133958533942,0.4759184594659963,0.3664619245579943,0.6363636363636364,0.1706079945885848,1.2579875963355485,0.0768532043883818,-0.5571990696720518,0.4759184594659963,0.3584815658968457,0.6363636363636364
svr_ga_regression,10,equal,11,0.1658785818181818,1.3094418626984252,0.07906124268064,-0.4710991,0.4603997085831415,0.3602925430354101,0.5454545454545454,0.1620805818181818,1.213927899668073,0.0749258266538952,-0.4748970999999999,0.4603997085831415,0.3520431894211601,0.5454545454545454
svr_ga_regression,10,score,11,0.1948221769886006,1.8140312157526952,0.0986214718932543,-0.562478537550111,0.4716653011232055,0.4130517477640577,0.6363636363636364,0.1910241769886006,1.6978020986969962,0.0944167600917427,-0.566276537550111,0.4716653011232055,0.4049994276316342,0.6363636363636364
svr_ga_regression,20,equal,11,0.1707517004545454,1.7163087241814343,0.0950971483273193,-0.4487001,0.4325136667251701,0.3947891444619837,0.7272727272727273,0.1669537004545454,1.6065794396158397,0.0909997051231674,-0.4524981000000001,0.4325136667251701,0.3860079190529531,0.7272727272727273
svr_ga_regression,20,score,11,0.1755352368519684,1.805947065085156,0.0983341764992362,-0.455993435082767,0.4324315153947667,0.4059260960471909,0.6363636363636364,0.1717372368519684,1.6927721177265935,0.0942311016742178,-0.4597914350827671,0.4324315153947667,0.397143202421751,0.6363636363636364
svr_ga_regression,30,equal,11,0.1761642663636363,1.6912005736709657,0.0941730307731185,-0.4711731333333333,0.4536811807916921,0.3882996999263282,0.7272727272727273,0.1723662663636363,1.5817038220339028,0.090049043022766,-0.4749711333333334,0.4536811807916921,0.3799281823038155,0.7272727272727273
svr_ga_regression,30,score,11,0.1714480038490893,1.6865574859467245,0.0940012814767365,-0.4451502497424617,0.4358733319433063,0.3933436420271506,0.6363636363636364,0.1676500038490893,1.5777628061384463,0.0898976671519244,-0.4489482497424618,0.4358733319433063,0.3846301013682925,0.6363636363636364
