stock_id,stock_name,source,dataset,start_date,end_date,success,n_rows,fetch_status,request_budget_status,error_message,saved_path
1504,東元,finmind,month_revenue,2015-01-01,2025-12-31,True,132,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\revenue\1504_revenue.csv
1504,東元,finmind,financial_statement,2015-01-01,2025-12-31,True,832,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\financials\1504_financial.csv
1504,東元,finmind,balance_sheet,2015-01-01,2025-12-31,True,3259,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\balance_sheet\1504_balance_sheet.csv
1513,中興電,finmind,price,2015-01-01,2025-12-31,True,2682,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\prices\1513_price.csv
1513,中興電,finmind,per_pbr,2015-01-01,2025-12-31,True,2684,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\per_pbr\1513_per_pbr.csv
1513,中興電,finmind,month_revenue,2015-01-01,2025-12-31,True,132,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\revenue\1513_revenue.csv
1513,中興電,finmind,financial_statement,2015-01-01,2025-12-31,True,744,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\financials\1513_financial.csv
1513,中興電,finmind,balance_sheet,2015-01-01,2025-12-31,True,2989,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\balance_sheet\1513_balance_sheet.csv
1519,華城,finmind,price,2015-01-01,2025-12-31,True,2682,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\prices\1519_price.csv
1519,華城,finmind,per_pbr,2015-01-01,2025-12-31,True,2684,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\per_pbr\1519_per_pbr.csv
1519,華城,finmind,month_revenue,2015-01-01,2025-12-31,True,132,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\revenue\1519_revenue.csv
