split_id,model_name,train_years,test_years,year,top_k,rank,證券代碼,簡稱,predicted_return,actual_label,actual_return,weight_method,weight,actual_return_decimal,return_contribution,gross_return,net_return
1,svr_ga_regression,1997,1998,1998,20,13,2376,技嘉,24.44453388363334,1,29.0524,score,0.036737787890702395,0.290524,0.010673209089158423,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,14,2912,統一超,21.182752567354758,1,62.5085,score,0.02601781699227718,0.625085,0.016263347134617582,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,15,2317,鴻海,20.30234949786288,1,87.7049,score,0.02312433813250954,0.877049,0.02028117763477936,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,16,5512,力麒,16.07427594376267,-1,-49.0651,score,0.009228610288906794,-0.490651,-0.0045280268668624075,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,17,2381,華宇,15.483873262937294,1,23.9331,score,0.007288228962539628,0.239331,0.0017442991258335716,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,18,1201,味全,14.349623176936774,-1,-48.7212,score,0.003560472030221917,-0.48721200000000003,-0.0017347046987884807,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,19,2380,虹光,13.825200791055153,1,73.9236,score,0.0018369375041404166,0.7392359999999999,0.0013579303328107447,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,20,2341,英群,13.266273114204267,1,13.9054,score,3.28653881390669e-15,0.139054,4.570063682289809e-16,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,30,1,2706,第一店,57.04158232680845,1,10.5944,equal,0.03333333333333333,0.105944,0.0035314666666666663,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,2,5346,力晶,55.23929092757892,1,216.8088,equal,0.03333333333333333,2.168088,0.0722696,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,3,5318,佳鼎,35.34978708104708,-1,-37.9413,equal,0.03333333333333333,-0.379413,-0.0126471,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,4,2358,美格,34.823618853705426,-1,-66.9481,equal,0.03333333333333333,-0.669481,-0.022316033333333332,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,5,5347,世界,33.26833375306204,1,119.9641,equal,0.03333333333333333,1.199641,0.03998803333333333,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,6,8716,尖美,31.691648548260524,-1,-92.2571,equal,0.03333333333333333,-0.9225709999999999,-0.030752366666666663,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,7,8382,美式,31.13894980205274,-1,-98.4381,equal,0.03333333333333333,-0.9843810000000001,-0.0328127,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,8,2537,聯上發,31.045534749638804,-1,-23.5052,equal,0.03333333333333333,-0.23505199999999998,-0.007835066666666666,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,9,8706,金緯,31.044996068058232,-1,-98.9775,equal,0.03333333333333333,-0.9897750000000001,-0.0329925,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,10,8723,順大裕,31.04494829336753,-1,-68.3262,equal,0.03333333333333333,-0.683262,-0.0227754,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,11,2357,華碩,30.51900989501325,1,56.0181,equal,0.03333333333333333,0.5601809999999999,0.018672699999999997,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,12,2910,統領,28.46035092846733,1,12.0175,equal,0.03333333333333333,0.120175,0.0040058333333333335,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,13,2376,技嘉,24.44453388363334,1,29.0524,equal,0.03333333333333333,0.290524,0.009684133333333334,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,14,2912,統一超,21.182752567354758,1,62.5085,equal,0.03333333333333333,0.625085,0.020836166666666666,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,15,2317,鴻海,20.30234949786288,1,87.7049,equal,0.03333333333333333,0.877049,0.029234966666666664,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,16,5512,力麒,16.07427594376267,-1,-49.0651,equal,0.03333333333333333,-0.490651,-0.016355033333333335,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,17,2381,華宇,15.483873262937294,1,23.9331,equal,0.03333333333333333,0.239331,0.007977699999999999,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,18,1201,味全,14.349623176936774,-1,-48.7212,equal,0.03333333333333333,-0.48721200000000003,-0.016240400000000002,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,19,2380,虹光,13.825200791055153,1,73.9236,equal,0.03333333333333333,0.7392359999999999,0.024641199999999995,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,20,2341,英群,13.266273114204267,1,13.9054,equal,0.03333333333333333,0.139054,0.004635133333333334,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,21,2377,微星,8.353821682461984,1,81.6998,equal,0.03333333333333333,0.816998,0.027233266666666665,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,22,2401,凌陽,6.233581443584825,1,80.2007,equal,0.03333333333333333,0.802007,0.026733566666666667,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,23,2356,英業達,6.027486597662943,-1,-13.139,equal,0.03333333333333333,-0.13139,-0.004379666666666667,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,24,2324,仁寶,5.075358415107615,1,39.4893,equal,0.03333333333333333,0.394893,0.013163099999999999,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,25,2615,萬海,1.6873958079399642,-1,-33.251,equal,0.03333333333333333,-0.33251,-0.011083666666666665,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,26,5701,劍湖山,0.3185550032910669,-1,-4.755,equal,0.03333333333333333,-0.04755,-0.001585,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,27,2386,國電,-0.2900202517002128,1,240.1467,equal,0.03333333333333333,2.4014670000000002,0.0800489,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,28,2379,瑞昱,-0.9358841300292228,1,113.0053,equal,0.03333333333333333,1.130053,0.037668433333333334,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,29,2422,國聯,-1.520777555998336,-1,-21.2843,equal,0.03333333333333333,-0.212843,-0.007094766666666667,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,30,2331,精英,-2.434109676421272,1,80.1532,equal,0.03333333333333333,0.801532,0.026717733333333334,0.2281722333333333,0.2243742333333333
1,svr_ga_regression,1997,1998,1998,30,1,2706,第一店,57.04158232680845,1,10.5944,score,0.08941889326461483,0.105944,0.009473395228026354,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,2,5346,力晶,55.23929092757892,1,216.8088,score,0.08670923328704475,2.168088,0.18799324817884228,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,3,5318,佳鼎,35.34978708104708,-1,-37.9413,score,0.05680630384416297,-0.379413,-0.021553050160425406,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,4,2358,美格,34.823618853705426,-1,-66.9481,score,0.05601523477081214,-0.669481,-0.03750113538959808,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,5,5347,世界,33.26833375306204,1,119.9641,score,0.053676937094461905,1.199641,0.06439305449293738,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,6,8716,尖美,31.691648548260524,-1,-92.2571,score,0.051306465372461835,-0.9225709999999999,-0.047333857065137486,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,7,8382,美式,31.13894980205274,-1,-98.4381,score,0.05047550891731111,-0.9843810000000001,-0.04968713194353163,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,8,2537,聯上發,31.045534749638804,-1,-23.5052,score,0.05033506379898183,-0.23505199999999998,-0.011831357416078277,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,9,8706,金緯,31.044996068058232,-1,-98.9775,score,0.05033425391667304,-0.9897750000000001,-0.04981958617037506,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,10,8723,順大裕,31.04494829336753,-1,-68.3262,score,0.05033418208968246,-0.683262,-0.03439143392296062,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,11,2357,華碩,30.51900989501325,1,56.0181,score,0.04954345855335692,0.5601809999999999,0.02775330415587803,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,12,2910,統領,28.46035092846733,1,12.0175,score,0.046448362049262226,0.120175,0.005581931909270088,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,13,2376,技嘉,24.44453388363334,1,29.0524,score,0.04041077083161442,0.290524,0.011740298785083949,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,14,2912,統一超,21.182752567354758,1,62.5085,score,0.03550683671081451,0.625085,0.02219479102537949,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,15,2317,鴻海,20.30234949786288,1,87.7049,score,0.034183192286526734,0.877049,0.029980334611705985,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,16,5512,力麒,16.07427594376267,-1,-49.0651,score,0.027826483434303707,-0.490651,-0.013653091923524548,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,17,2381,華宇,15.483873262937294,1,23.9331,score,0.026938840894608677,0.239331,0.006447299730147589,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,18,1201,味全,14.349623176936774,-1,-48.7212,score,0.025233549472863617,-0.48721200000000003,-0.01229408810577283,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,19,2380,虹光,13.825200791055153,1,73.9236,score,0.0244451051896735,0.7392359999999999,0.018070701779993478,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,20,2341,英群,13.266273114204267,1,13.9054,score,0.02360478383155877,0.139054,0.0032823396109135736,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,21,2377,微星,8.353821682461984,1,81.6998,score,0.016219145170663384,0.816998,0.013251009166141643,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,22,2401,凌陽,6.233581443584825,1,80.2007,score,0.013031464132749615,0.802007,0.01045132545471412,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,23,2356,英業達,6.027486597662943,-1,-13.139,score,0.012721610267932457,-0.13139,-0.0016714923731036455,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,24,2324,仁寶,5.075358415107615,1,39.4893,score,0.011290130524484968,0.394893,0.004458393513205442,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,25,2615,萬海,1.6873958079399642,-1,-33.251,score,0.006196488793702346,-0.33251,-0.002060394488793967,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,26,5701,劍湖山,0.3185550032910669,-1,-4.755,score,0.004138501308655507,-0.04755,-0.00019678573722656936,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,27,2386,國電,-0.2900202517002128,1,240.1467,score,0.0032235371621837853,2.4014670000000002,0.0077412181182580095,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,28,2379,瑞昱,-0.9358841300292228,1,113.0053,score,0.0022525113320575082,1.130053,0.002545457188325583,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,29,2422,國聯,-1.520777555998336,-1,-21.2843,score,0.0013731516967788453,-0.212843,-0.00029226572659749977,0.1430724325256986,0.1392744325256986
1,svr_ga_regression,1997,1998,1998,30,30,2331,精英,-2.434109676421272,1,80.1532,score,1.5034527594863053e-15,0.801532,1.2050654972165774e-15,0.1430724325256986,0.1392744325256986
2,svr_ga_regression,"1997,1998",1999,1999,5,1,2323,中環,57.22753773754855,-1,-72.4627,equal,0.2,-0.724627,-0.1449254,-0.6707192,-0.6745171999999999
2,svr_ga_regression,"1997,1998",1999,1999,5,2,1527,鑽全,55.63734196567874,1,-30.2224,equal,0.2,-0.302224,-0.0604448,-0.6707192,-0.6745171999999999
2,svr_ga_regression,"1997,1998",1999,1999,5,3,2474,可成,46.63926294921329,-1,-75.0269,equal,0.2,-0.750269,-0.15005380000000001,-0.6707192,-0.6745171999999999
2,svr_ga_regression,"1997,1998",1999,1999,5,4,2349,錸德,44.69349881141639,-1,-57.6476,equal,0.2,-0.576476,-0.1152952,-0.6707192,-0.6745171999999999
2,svr_ga_regression,"1997,1998",1999,1999,5,5,2339,合泰,43.40150501409487,-1,-100.0,equal,0.2,-1.0,-0.2,-0.6707192,-0.6745171999999999
2,svr_ga_regression,"1997,1998",1999,1999,5,1,2323,中環,57.22753773754855,-1,-72.4627,score,0.45195488461664,-0.724627,-0.327498712175102,-0.552133958533942,-0.555931958533942
2,svr_ga_regression,"1997,1998",1999,1999,5,2,1527,鑽全,55.63734196567874,1,-30.2224,score,0.39997346948704315,-0.302224,-0.12088158184225213,-0.552133958533942,-0.555931958533942
2,svr_ga_regression,"1997,1998",1999,1999,5,3,2474,可成,46.63926294921329,-1,-75.0269,score,0.10583806238944515,-0.750269,-0.07940701723086663,-0.552133958533942,-0.555931958533942
2,svr_ga_regression,"1997,1998",1999,1999,5,4,2349,錸德,44.69349881141639,-1,-57.6476,score,0.04223358350683907,-0.576476,-0.02434664728568856,-0.552133958533942,-0.555931958533942
2,svr_ga_regression,"1997,1998",1999,1999,5,5,2339,合泰,43.40150501409487,-1,-100.0,score,3.2688689059005136e-14,-1.0,-3.2688689059005136e-14,-0.552133958533942,-0.555931958533942
2,svr_ga_regression,"1997,1998",1999,1999,10,1,2323,中環,57.22753773754855,-1,-72.4627,equal,0.1,-0.724627,-0.0724627,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,2,1527,鑽全,55.63734196567874,1,-30.2224,equal,0.1,-0.302224,-0.0302224,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,3,2474,可成,46.63926294921329,-1,-75.0269,equal,0.1,-0.750269,-0.07502690000000001,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,4,2349,錸德,44.69349881141639,-1,-57.6476,equal,0.1,-0.576476,-0.0576476,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,5,2339,合泰,43.40150501409487,-1,-100.0,equal,0.1,-1.0,-0.1,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,6,2379,瑞昱,42.280672959417885,1,-3.3828,equal,0.1,-0.033828,-0.0033828,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,7,2396,精碟,39.46288317357566,1,-37.689,equal,0.1,-0.37689,-0.037689,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,8,1451,年興,37.90581644141385,1,-34.9908,equal,0.1,-0.349908,-0.0349908,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,9,1326,台化,37.83317104712479,1,-23.6226,equal,0.1,-0.236226,-0.0236226,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,10,2395,研華,37.79373780154894,1,-36.0543,equal,0.1,-0.360543,-0.036054300000000004,-0.4710991,-0.4748971
2,svr_ga_regression,"1997,1998",1999,1999,10,1,2323,中環,57.22753773754855,-1,-72.4627,score,0.2992667622487991,-0.724627,-0.21685677612806056,-0.562478537550111,-0.566276537550111
