證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
2548,華固,200812,8127,28.52,0.870902191503684,1.0074,0.64774,0.12106,0.38871,0.26163,0.25041,2.211,152.73,7.16,0.36,61.5,22.67,20.8,149.5091,1
2601,益航,200812,7520,27.26,0.214445740415978,1.1868,0.41536,0.14618,0.31677,0.19479,0.14562,1.1671,98.62,68.31,0.0,202.8,137.08,161.26,84.8863,-1
2603,長榮,200812,47291,15.45,0.570682850481878,0.74782,0.36664,0.0047923,0.0094406,0.021933,0.0049555,0.96992,165.73,145.77,0.0,9.54,-72.59,-91.52,15.534,-1
2605,新興,200812,17049,25.92,0.029332342754362,1.1597,2.2364,0.11049,0.20705,0.58869,0.4391,0.87398,173.16,167.33,0.0,16.71,39.83,-5.57,51.3503,-1
2606,裕民,200812,33720,33.15,0.675375318416595,1.0618,1.5718,0.25551,0.38955,0.60727,0.57661,0.52458,429.0,423.4,0.0,34.89,24.05,15.3,80.9351,-1
2607,榮運,200812,19208,17.66,0.309149618895917,0.98604,2.8211,0.041057,0.048885,0.12776,0.14079,0.19068,240.23,224.21,0.0,9.73,-5.44,4.7,58.9468,-1
2608,大榮,200812,7017,13.36,0.51110637094286,1.0357,1.0714,0.040638,0.063769,0.056461,0.066008,0.56921,151.44,142.25,55.08,5.87,422.13,204.16,67.9641,-1
2609,陽明,200812,25880,9.98,0.722902973268465,0.54417,0.18557,0.0048562,0.011531,0.0053123,0.0039711,1.3744,87.07,62.79,0.0,35.38,-87.21,-90.51,21.7435,-1
2610,華航,200812,35243,10.92,0.465662408365111,1.6446,0.38437,-0.14393,-0.95264,-0.077446,-0.24643,5.6188,36.44,28.25,0.0,12.5,-593.91,-1358.24,3.9377,-1
2612,中航,200812,12977,43.28,0.650530624454913,1.2651,1.7354,0.24265,0.48416,0.52848,0.66421,0.99528,137.07,134.62,0.0,22.84,65.11,83.79,89.9723,-1
2615,萬海,200812,30503,14.15,0.260511507083546,1.0995,0.46016,7.6327e-05,0.00019052,0.027066,8.0163e-05,1.4962,121.64,110.36,0.0,18.21,-71.66,-99.57,21.2014,-1
2617,台航,200812,16837,35.48,0.0320728464199854,1.5534,2.3009,0.24753,0.35107,0.54532,0.52007,0.41828,239.01,214.54,0.0,41.15,118.2,117.09,24.0699,-1
