證券代碼,year,市值(百萬元),股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,稅後淨利成長率
1305,2021,0.1170666,2.2856414322467355e-08,44358407.07964602,30075000.0,0.6389321622928693,0.5871928122523467,46.04622871046229,-69.78844376582151
1305,2022,0.0779688,2.2233229223073983e-08,29604952.34992262,18173000.0,-0.2745191637302783,0.5182130219663807,69.26854937730224,-39.57439733998338
1305,2023,0.07642439999999998,2.3721909066077318e-08,10745673.643200146,5930000.0,-1.5637803878721661,0.1840654565319957,80.71589205397302,-67.36917404941396
1305,2024,0.043080999999999994,1.6935686767827657e-08,-16737783.895388851,-8512000.0,-5.771719474801478,-0.33461750137589436,100.22750775594622,-243.54131534569981
1305,2025,,,-11545101.424255501,-5350000.0,1.7291237413881586,-0.2914651380455165,225.58087074216107,-37.14755639097744
1308,2015,0.0855225,6.460667154677539e-08,186677112.34911793,1.5937145178027923,2.59189675321683,12.150488652991786,11713334493.964716,
1308,2016,0.06748030000000001,3.6071216280939436e-08,364103590.97583765,2.2422440756869793,2.986232274507792,14.579698431432922,22362703424.442352,69.5774087452826
1308,2017,9740556.36,6.101767381839822,3.2506725772082814,2.1582179289856067,0.527954395965797,9.623390860400288,3.8289136835472146e-07,-43.67626031164069
1308,2018,7373289.91,3.909110477732519,1.072763551059988,1.3106255096610742,-0.8593554913340765,5.419098167143026,4.0002348914605713e-07,-33.46439009783692
1308,2019,8620650.985,4.924735492550615,3.6981775368836622,2.255495661642626,1.4540583154334812,20.95156757003793,3.8661481824704637e-07,258.8089694171053
1308,2020,0.066374,3.8627848319321374e-08,10.093569513059778,6.101450343194098,10.129523818391963,30.04590599746027,39.431121026213056,40.76967332237227
1308,2021,0.11761280000000002,4.035325844547071e-08,1660160584.8945754,1271600000.0,-1.418043079963494,43.62892766710812,22.74456855284154,146.30188832739015
1308,2022,0.1072137,4.28192642897024e-08,978255362.3707952,818653000.0,-14.855986702163774,32.6955595866552,16.41443538998836,-35.62024221453287
1308,2023,0.09021154999999997,5.378975430412004e-08,198724617.4434165,170774000.0,-18.590566890503567,10.182611319206684,16.31964638827498,-79.1396354743707
1308,2024,0.0685462,4.4141593216693466e-08,23562962.093650978,20078000.0,-18.008450154584636,1.2929599432277374,18.413262285375964,-88.24294096291004
1308,2025,,,106418058.06038748,91461000.0,-27.32404468873819,6.521278772706758,114.36413540713633,355.5284390875586
1326,2015,421419294.9700001,5.3567705121581755,0.4198111322626082,0.23145959525595106,4.439669642978695,1.5092766208404957,1.239965200643588e-08,
1326,2016,583188036.85,7.095512704866144,2.0302686626876802,1.1439165392598332,5.3072445575802325,7.115016799992933,1.0881793279156213e-08,392.5162167306465
1326,2017,552709868.09,5.594703851405537,1.0357101935360724,1.2267042833734074,7.565572716277499,3.1629503967451815,1.1281404614124794e-08,-46.56673126523301
1326,2018,630077527.25,6.203324151738268,-2.5216090148413577,-2.898738627363864,-0.7984615679975425,-8.440437940178763,7.230762126059744e-09,-374.36076076973046
1326,2019,509923208.1,7.927119217467423,0.07474107148763848,0.047533998007297316,4.336376805418725,0.4219588091182626,7.197459764566043e-09,-103.16610235840689
1326,2020,0.0869478,1.195811996763758e-09,3.10643317059695,2.011608350213146,4.341976006439476,7.615768498362796,39.598455598455594,1940.0930623252318
1326,2021,0.07781200000000003,8.220481833571863e-10,-991845645.3224691,-645146000.0,2.042693387014732,-0.6815672355165722,39.48576675849402,-111.65060781642076
1326,2022,0.076154,8.858433556426566e-10,-3129101313.774482,-0.6686901561767801,-4.153163402643979,-2.2579827713389644,988556454963.3918,200.88352093944627
1326,2023,0.067008,7.649512244276798e-10,-737815054.4959129,-0.14924578608672287,-0.9462024717486439,-0.4945846663490482,56.395843978879235,-77.6808758573579
1326,2024,0.040237800000000004,4.949781024796254e-10,-8002120469.269832,-4570011000.0,-0.038472382076182796,-5.62171732324087,68.05980904341561,954.8329467160613
1326,2025,,,4822710335.0321665,2886151000.0,1.5717345469928157,4.440164748877898,155.8117793705204,-163.15413682811703
1402,2015,141315902.64,2.476278764948719,0.38408161679224195,0.14604046568882478,1.3609344203598772,1.3275548549236542,2.524694797732023e-08,
1402,2016,127666071.135,2.2634755873799737,0.41624574090182737,0.15555083738325315,3.4637915735623306,1.4285067913094613,2.7169332567676723e-08,6.350126120798771
1402,2017,136230671.295,2.3414109457938794,0.7043011839463742,0.5149662817881224,-0.18024633350482053,2.288753584736118,0.0,65.27771572117223
1402,2018,156839240.43,2.551609254746555,0.5331562643912393,0.36933753103632355,1.0964472947783808,1.6992378030973927,4.0287884052177194e-10,-21.567071096496203
1402,2019,0.02754485,4.606613085391117e-10,1.0714906682769083,0.38559066391560315,3.0130641382006838,1.8236400295166013,92.7887323943662,4.400617731340484
1402,2020,0.02387,4.259805216792677e-10,4322105877.205775,1481834000.0,1.3483791485764738,2.644459239053523,9.222860598729966,35.894463651953814
1402,2021,0.0238569,3.635685836291865e-10,3728903816.7938933,1221216000.0,1.086516396711633,1.8610790648629982,2.343509096515572,-17.587530047225265
1402,2022,0.0264465,4.1278337504948203e-10,3580829965.806652,0.34845409108078695,-0.059873216746632374,1.797996132714635,2.9144468818552176,-5.671642035479396
1402,2023,0.02640035,3.9425330854408914e-10,3386377605.3552403,0.3366509371031748,1.1505084911703287,1.6620140166243962,2.956830277942046,-3.3872909745449653
1402,2024,0.026807749999999995,3.78881024496608e-10,6735855485.386987,2293222000.0,3.7583686063107207,3.2410713348123608,2.9471841260577767,106.05211634482936
1402,2025,,,8509164475.6061945,2912687000.0,1.2494282681449453,4.236265432978599,3.392804913717461,27.012866613001265
1503,2015,20682596.34,3.9742032684294952,0.024794078274541182,0.015345558647641023,0.9944060695452068,0.10210959891718478,1.713749520180462e-07,
1503,2016,20734693.56,3.5346406827386803,0.02909551390383984,0.017558503617589337,1.4592051091868092,0.10606635812755204,1.8667153959215246e-07,17.086940158073016
1503,2017,21724540.74,3.6329240581581144,0.036213337955274136,0.04257957259738629,1.1281282896634646,0.1290321501762988,0.0,24.0115718418515
1503,2018,21229617.15,3.212590001053228,0.050463799969170525,0.05601130468674991,1.8992151635771979,0.16957575493443355,1.9537629041285084e-08,45.23068947641264
1503,2019,0.056871,8.669129812715332e-09,0.1823915471046263,0.1054548015599723,1.2902554109083082,0.3216073232203902,7.133220910623947,88.27413885418527
1503,2020,0.061764150000000004,8.50425025599846e-09,37295845.57280739,0.10565931154805464,0.5157007569733678,0.3059314123776168,70272041771.0944,5.313299838847274
1503,2021,0.062261999999999984,9.070485724495977e-09,68819802.3147757,0.19369050896367135,0.9784184442242048,0.5933795156667722,11.449077238550922,83.3160808317206
1503,2022,0.064736,8.1167215045224e-09,62640726.32944228,36222000.0,0.7873982181228476,0.4541582524975444,13.688079817959043,-11.07019223687118
1503,2023,0.1016785,1.3633985382135354e-08,39370683.03914045,23085000.0,-0.6159385893068716,0.3095448423674569,14.98170934486199,-36.2680139141958
1503,2024,0.177954,1.9951308465857907e-08,51903230.991801955,32289000.0,-0.09141855155298863,0.3620080464918383,14.079029247044181,39.87004548408058
1503,2025,,,44432101.74676004,27599000.0,-0.3621602437229396,0.2849926028315867,26.305254378648872,-14.525070457431323
1504,2015,53071361.85,4.254144405859491,0.19115101912306584,0.10745402233207442,-1.0985943808258518,0.7272660813674219,8.235708202011115e-08,
1504,2016,53872439.01,4.01205894279623,0.24758137374261072,0.1363544099592139,1.1489891476745446,0.8964799370015362,7.963433776394092e-08,32.67789436557622
1504,2017,57577420.875,4.3372125837076965,0.22274889007775361,0.24290463228802808,0.6584301133247353,0.8428715983690808,7.755275925457339e-08,-7.047085797833452
1504,2018,36348876.135,2.7971238471607354,0.1814390397614627,0.20587013731698628,0.8497286282742175,0.72859056766825,1.8256789569635306e-09,-15.382552974716912
1504,2019,0.053622,4.446354191888268e-09,0.14678831385881788,0.08566307706802113,1.3633015162480737,0.32668124295591755,1.7651170919259,-58.38975084758293
