stock_id,year,total_assets_million,total_equity_million,total_liabilities_million,share_capital_million
2303,2023,0.1,0.05903,0.00054,0.022600000000000002
2303,2024,0.1,0.06628,0.00039,0.02203
2303,2025,0.1,0.06559000000000001,0.00045,0.02174
2308,2015,226275936.0,124370187.0,0.04275,25975433.0
2308,2016,231846699.0,118157093.0,0.0466,25975433.0
2308,2017,0.1,114947560.0,0.0,25975433.0
2308,2018,261935424.0,130271159.0,0.00101,25975433.0
2308,2019,311037290.0,140156877.0,0.00108,25975433.0
2308,2020,0.1,0.04337,0.00149,0.007719999999999999
2308,2021,0.1,0.04239,0.00149,0.00711
2308,2022,0.1,0.04249,0.00157,0.006059999999999999
2308,2023,0.1,0.040119999999999996,0.00173,0.00588
2308,2024,0.1,0.04326,0.0020299999999999997,0.00488
2308,2025,0.1,0.041909999999999996,0.0016699999999999998,0.004059999999999999
2313,2015,51512742.0,20779562.0,0.05966,11918206.0
2313,2016,49910189.0,19492023.0,0.060950000000000004,11918206.0
2313,2017,0.1,20030749.0,0.05964,11918206.0
2313,2018,57667931.0,23492292.0,0.05926,11918206.0
2313,2019,0.1,0.04205,0.05795,0.01946
2313,2020,0.1,0.0439,0.056100000000000004,0.01795
2313,2021,0.1,0.04496,0.05504,0.016550000000000002
2313,2022,0.1,0.04549,0.054509999999999996,0.01474
2313,2023,0.1,0.04996,0.05004,0.01656
2313,2024,0.1,0.05216,0.04784,0.013980000000000001
2313,2025,0.1,0.05289,0.1,0.01317
2317,2015,2308299877.0,1007629838.0,0.054060000000000004,156382881.0
2317,2016,2379048820.0,992507259.0,0.05614,173287383.0
2317,2017,0.1,1060188731.0,0.053899999999999997,173287383.0
2317,2018,3381355427.0,1211878469.0,0.060590000000000005,138629906.0
2317,2019,0.1,0.037340000000000005,0.05785,0.00417
2317,2020,0.1,0.03531,0.05988,0.00377
2317,2021,0.1,0.03532,0.05975,0.0035499999999999998
2317,2022,0.1,0.03301,0.06243,0.00316
2317,2023,0.1,0.03701,0.057890000000000004,0.00368
