stock_id,year,revenue_million,operating_income_million,net_income_million
2105,2015,27483081.0,-119153.0,-30002.0
2105,2016,27727721.0,-167375.0,11595.0
2105,2017,27119426.0,-139019.0,17806.0
2105,2018,25781171.0,-42215.0,17008.0
2105,2019,26620462.0,-557060.0,48841.0
2105,2020,26702656.0,450611.0,10715.0
2105,2021,24176610.0,-44871.0,6489.0
2105,2022,22960084.0,-506033.0,-6063.0
2105,2023,22716733.0,-298261.0,-9686.0
2105,2024,22774378.0,132326.0,4847.0
2105,2025,20955145.0,-42536.0,26753.0
2106,2015,7247549.0,95482.0,0.0
2106,2016,7192144.0,360245.0,0.0
2106,2017,7859957.0,-143034.0,-1.0
2106,2018,7479880.0,82408.0,-1.0
2106,2019,7449962.0,-125723.0,-1.0
2106,2020,8204234.0,-246456.0,-1.0
2106,2021,8263185.0,-51785.0,1491746.0
2106,2022,8354622.0,-161494.0,-2.0
2106,2023,8563655.0,-122842.0,0.0
2106,2024,7995386.0,169531.0,1616577.0
2106,2025,8022471.0,16245.0,1628666.0
2204,2015,8392394.0,522884.0,38700.0
2204,2016,9173242.0,327882.0,62779.0
2204,2017,7967514.0,686445.0,132925.0
2204,2018,7748402.0,475835.0,96036.0
2204,2019,7668829.0,-3073139.0,11721.0
2204,2020,8007592.0,616365.0,138153.0
2204,2021,6416059.0,1012009.0,88747.0
2204,2022,7698853.0,-3284375.0,-25994.0
2204,2023,10797551.0,941232.0,-8833.0
2204,2024,7022322.0,671104.0,54800.0
2204,2025,8132101.0,498426.0,190572.0
2207,2015,41595167.0,1105744.0,258590.0
2207,2016,45548431.0,1083777.0,300664.0
2207,2017,49119604.0,,322742.0
2207,2018,49063851.0,,361849.0
2207,2019,61003259.0,,410582.0
2207,2020,60680195.0,,723395.0
2207,2021,56898868.0,,876632.0
2207,2022,65756990.0,,782396.0
2207,2023,69452165.0,,580204.0
2207,2024,71182943.0,,542604.0
2207,2025,70672234.0,,1383434.0
2301,2015,57745363.0,539623.0,-93211.0
2301,2016,63262726.0,-604610.0,-116149.0
2301,2017,54159832.0,806538.0,-5574.0
2301,2018,50469444.0,1096218.0,40453.0
2301,2019,44154967.0,606506.0,-22211.0
2301,2020,41435757.0,675807.0,42725.0
2301,2021,44568983.0,-455419.0,-6475.0
2301,2022,43094644.0,1520139.0,25095.0
2301,2023,36909031.0,934360.0,-17446.0
2301,2024,38299416.0,491079.0,-10132.0
2301,2025,44356417.0,559580.0,1934.0
2303,2015,33849382.0,906656.0,-113795.0
2303,2016,38305939.0,-1209643.0,-2044297.0
2303,2017,36630674.0,-151688.0,-589184.0
2303,2018,35517201.0,-1998046.0,-1282834.0
2303,2019,41849058.0,946867.0,-673556.0
2303,2020,45296353.0,5618944.0,-306006.0
2303,2021,59099588.0,557799.0,55537.0
2303,2022,67835715.0,889366.0,51985.0
2303,2023,54958278.0,2226555.0,-2035.0
2303,2024,60386110.0,-1442690.0,-36890.0
2303,2025,61809545.0,3277811.0,-55511.0
2308,2015,55608245.0,1228580.0,326002.0
2308,2016,57014288.0,1184177.0,119611.0
2308,2017,61357049.0,639358.0,411687.0
2308,2018,64633878.0,1373764.0,-451466.0
2308,2019,68193260.0,879351.0,-850141.0
2308,2020,78553020.0,150692.0,268935.0
2308,2021,83769457.0,1139978.0,236099.0
2308,2022,105660287.0,746265.0,1320071.0
2308,2023,100020430.0,2600253.0,448660.0
2308,2024,114202483.0,-861779.0,338615.0
2308,2025,161613099.0,-769844.0,4498276.0
2313,2015,13739811.0,-281655.0,2033386.0
2313,2016,14214764.0,-85063.0,1994655.0
2313,2017,16945607.0,-365094.0,2675287.0
2313,2018,14605578.0,-392634.0,1965623.0
2313,2019,17337129.0,-413868.0,4058637.0
2313,2020,18128842.0,-146529.0,3064878.0
2313,2021,19735379.0,36767.0,3780206.0
2313,2022,20845722.0,-427729.0,4366051.0
2313,2023,20126664.0,-237051.0,3371324.0
2313,2024,19832529.0,356272.0,3237329.0
2313,2025,21016187.0,237901.0,3930185.0
2317,2015,1429713447.0,16029833.0,-2335739.0
2317,2016,1403239008.0,10874853.0,2519872.0
2317,2017,1730388142.0,63222631.0,-1051288.0
2317,2018,1809898195.0,10844673.0,2307737.0
2317,2019,1740932341.0,13036136.0,6464881.0
2317,2020,2009011936.0,10325271.0,6083355.0
2317,2021,1889826141.0,9488389.0,7769626.0
2317,2022,1963028204.0,8218040.0,-240960.0
2317,2023,1852072177.0,17968110.0,-386512.0
2317,2024,2130503832.0,-1167447.0,6268010.0
2317,2025,2606372027.0,-3308738.0,14241425.0
2324,2015,234298355.0,-22418.0,143258.0
2324,2016,219338916.0,1337172.0,152971.0
2324,2017,254840492.0,140384.0,91724.0
2324,2018,280302021.0,-116269.0,167364.0
2324,2019,267523325.0,-317452.0,107875.0
2324,2020,333987078.0,823316.0,287712.0
2324,2021,367835268.0,658634.0,277912.0
